  real distance              measured distance                          Err_r
============================================================================
              1                             80                             79
              6                              5                              1
             11                             10                              1
             16                             15                              1
             21                             20                              1
             26                             25                              1
             31                             30                              1
             36                             35                              1
             41                             40                              1
             46                             45                              1
             51                             50                              1
             56                             55                              1
             61                             60                              1
             66                             65                              1
             71                             70                              1
             76                             75                              1


    real velocy                measured velocy                          Err_v
============================================================================
            -35                            -35                              0
            -30                            -30                              0
            -25                            -25                              0
            -20                            -20                              0
            -15                            -15                              0
            -10                            -10                              0
             -5                             -5                              0
              0                              0                              0
              5                              5                              0
             10                             10                              0
             15                             15                              0
             20                             20                              0
             25                             25                              0
             30                             30                              0
             35                             35                              0
             40                             40                              0
