  real distance              measured distance	    real velocy                measured velocy
==============================================	==============================================
              1                              2	            -15                            -15
              3                              4	            -14                            -14
              5                              6	            -13                            -13
              7                              8	            -12                            -12
              9                             10	            -11                            -11
             11                             12	            -10                            -10
             13                             14	             -9                             -9
             15                             16	             -8                             -8
             17                             18	             -7                             -7
             19                             20	             -6                             -6
             21                             22	             -5                             -5
             23                             24	             -4                             -4
             25                             26	             -3                             -3
             27                             28	             -2                             -2
             29                             30	             -1                             -1
             31                             32	              0                              0
             33                             34	              1                              1
             35                             36	              2                              2
             37                             38	              3                              3
             39                             40	              4                              4
             41                             42	              5                              5
             43                             44	              6                              6
             45                             46	              7                              7
             47                             48	              8                              8
             49                             50	              9                              9
             51                             52	             10                             10
             53                             54	             11                             11
             55                             56	             12                             12
             57                             58	             13                             13
             59                             60	             14                             14
             61                             62	             15                             15
             63                             64	             16                             16
